symbol,avg_volume,avg_value,data_days
SHB,61491113.333333336,1017108164.0,785
VIX,40917873.333333336,974974630.6666666,785
SSI,24863188.266666666,750618243.6733333,785
HPG,27673633.333333332,742523570.3333334,785
VIC,5099034.5,731256706.8383334,785
VHM,5260973.333333333,550435510.3333334,785
MBB,21996160.0,538146183.8333334,785
FPT,5312498.033333333,512204654.7403333,785
MWG,5919530.0,491099977.6666667,785
HDB,17402760.166666668,439453911.1996667,785
GEX,9945950.0,438287520.0,785
VJC,2171176.6666666665,435128601.3333333,785
VPB,14853400.0,427344624.8333333,785
CII,15525273.333333334,393415998.6666667,785
STB,7508780.0,381793106.0,785
MSN,4546356.666666667,351454823.6666667,785
DGC,4568937.9,349342709.16966665,785
TCB,9742543.333333334,331013999.8333333,785
VRE,9849463.333333334,318645052.5,785
SHS,14575786.666666666,311688209.0,785
VCI,8780700.0,302665870.5,785
VNM,4703450.0,295515257.3333333,785
CEO,11654090.0,282640378.0,785
VND,14656063.333333334,281007221.1666667,785
HAG,15484916.666666666,278848556.5,785
CTG,7578652.9,263215715.04199997,785
DXG,11904720.0,217972457.5,785
ACB,8295806.666666667,201042396.0,785
VCB,3283630.0,190039590.0,785
PVD,7248940.0,189911236.5,785
PDR,9003400.0,189761135.33333334,785
DIG,9548106.666666666,187037368.66666666,785
HCM,7651813.333333333,174571347.0,785
VSC,7880143.333333333,172062330.5,785
GEE,783236.6666666666,156334255.33333334,785
KDH,4638216.666666667,155659062.33333334,785
NVL,10112516.666666666,149731536.16666666,785
EIB,6207033.333333333,137069560.5,785
DBC,4958300.0,136688619.0,785
PVS,4171489.8666666667,135081178.685,785
TPB,7408980.0,126951154.66666667,785
VPI,2084846.6666666667,118967681.33333333,785
VCG,4120206.6666666665,98684282.0,785
HAH,1605393.3333333333,98352631.66666667,785
MCH,453836.6666666667,97287023.0,785
KBC,2792990.0,96506766.16666667,785
BSR,6191450.0,95705174.16666667,785
VIB,5198936.666666667,94475822.33333333,785
BAF,2673393.3333333335,92554897.66666667,785
POW,7447378.633333334,92264692.10166666,785
MSB,7218140.0,91861413.83333333,785
LPB,1997046.6666666667,90046470.83333333,785
SAB,1762200.0,89307530.66666667,785
TCH,4501864.4,88811296.59033333,785
DGW,2005686.6666666667,85960239.33333333,785
FRT,548986.6666666666,81814687.0,785
MBS,2769836.6666666665,77599965.0,785
NKG,4582953.333333333,73671254.16666667,785
KHG,9885423.333333334,73178178.56666666,785
BID,1841780.0,69695086.5,785
HHV,4937261.1,68032657.62133333,785
IDC,1730032.8,66440532.77866667,785
DPM,2847456.6666666665,66163846.5,785
ABB,4317866.666666667,65379830.666666664,785
PVT,3489533.3333333335,64685022.166666664,785
HDG,2088910.0,64435828.0,785
GAS,979923.3333333334,63523118.333333336,785
PC1,2725737.1,60786074.05499999,785
GMD,993550.0,60551887.0,785
NLG,1700896.6666666667,58353477.0,785
PLX,1580960.0,54904689.333333336,785
GVR,2012390.6,54832981.233333334,785
HDC,2122663.6333333333,54535855.06166666,785
PET,1623853.3333333333,53563145.833333336,785
ACV,972143.3333333334,51799837.0,785
VHC,862730.0,49502908.666666664,785
SSB,2621143.3333333335,45585010.333333336,785
VGI,597170.0,44398951.666666664,785
HSG,2675046.6666666665,44136030.833333336,785
PNJ,479766.6666666667,43691145.333333336,785
DCM,1280906.6666666667,43152017.666666664,785
ANV,1473993.3333333333,42651627.833333336,785
CTD,485025.0333333333,38767164.11466666,785
FTS,1005523.3333333334,33365129.5,785
MSR,1318136.6666666667,32901519.0,785
TAL,657763.3333333334,32455091.333333332,483
IJC,2823060.0,32417625.166666668,785
VFS,2052543.3333333333,32034183.333333332,785
EVF,2688443.3333333335,31588923.0,785
TCM,1131043.3333333333,31340658.5,785
DCL,788473.3333333334,31055728.0,785
